id,overall_rank,score,GDP_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,year_id,country_id
743,68,5.760700225830078,1.3929768800735474,1.1974509954452515,0.4672314524650574,0.39782682061195374,0.059239357709884644,0.24714121222496033,7,110
744,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,0,117
745,135,4.212,0.811,1.149,0.0,0.313,0.135,0.074,4,117
746,132,4.30810022354126,0.8275397419929504,1.0648351907730103,0.2155858278274536,0.29993578791618347,0.14676587283611298,0.06726483255624771,5,117
747,130,4.30810022354126,0.8489258885383606,0.6932052373886108,0.07417500019073486,0.3225506842136383,0.14736534655094147,0.06737956404685974,6,117
748,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,0,20
749,99,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.0,1,20
750,87,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,0.0,2,20
751,79,5.358,1.154,1.202,0.879,0.131,0.044,0.0,3,20
752,82,5.287,1.181,1.156,0.999,0.067,0.034,0.0,4,20
753,77,5.514999866485596,1.1280701160430908,1.1689735651016235,0.9794317483901978,0.17351634800434113,0.0488443523645401,0.0,5,20
754,68,5.722599983215332,1.2729252576828003,0.8114303946495056,0.7597255110740662,0.2433871477842331,0.0741005539894104,0.0,6,20
755,58,5.948200225830078,1.7030614614486694,0.9803828001022339,0.773688793182373,0.24916474521160126,0.10833656042814255,0.014922902919352055,7,20
756,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,0,37
757,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,1,37
758,88,5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.037513829767704,0.264450758695602,2,37
759,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,3,37
760,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,4,37
761,111,4.771500110626221,0.8892325162887573,1.1924933195114136,0.7886711359024048,0.18551667034626007,0.021518146619200706,0.15852414071559906,5,37
762,123,4.583799839019775,1.0447436571121216,0.8678476214408875,0.5945366621017456,0.174581840634346,0.026287246495485306,0.14004866778850555,6,37
763,145,2.9553000926971436,1.3920683860778809,0.49799853563308716,0.6309643387794495,0.10279864817857742,0.03376094624400139,0.08219129592180252,7,37
764,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,0,99
765,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1,99
766,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,2,99
767,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,3,99
768,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,4,99
769,53,6.000400066375732,1.1643071174621582,1.4230093955993652,0.8067938685417175,0.38640180230140686,0.02754817344248295,0.0704912394285202,5,99
770,53,5.991600036621094,1.3006794452667236,1.0833665132522583,0.614849328994751,0.4540945887565613,0.040280405431985855,0.06652212142944336,6,99
771,51,6.085899829864502,1.747837781906128,1.2325856685638428,0.6676573753356934,0.48464435338974,0.06388397514820099,0.07769043743610382,7,99
772,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,0,65
773,104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,1,65
774,91,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,0.236188873648643,2,65
775,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,3,65
776,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,4,65
777,56,5.953199863433838,0.5987635850906372,1.18666410446167,0.7919899821281433,0.5681480765342712,0.08680710196495056,0.25652819871902466,5,65
778,59,5.9191999435424805,0.7032506465911865,0.7870002388954163,0.5927936434745789,0.578340470790863,0.08327946066856384,0.24080146849155426,6,65
779,55,6.02209997177124,1.1112792491912842,0.8850036859512329,0.5545865297317505,0.5821523070335388,0.07648828625679016,0.20199593901634216,7,65
780,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,0,100
781,100,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,1,100
782,96,5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.146377146244049,0.248997643589973,2,100
783,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,3,100
784,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,4,100
785,71,5.555699825286865,0.4748746156692505,1.218377709388733,0.680594801902771,0.5211411714553833,0.22177991271018982,0.1824171245098114,5,100
786,78,5.46619987487793,0.5084927082061768,0.8946593403816223,0.49769994616508484,0.5478841662406921,0.24660591781139374,0.1515914499759674,6,100
787,83,5.377099990844727,0.9664257168769836,1.0051751136779785,0.517663836479187,0.571535587310791,0.3039129674434662,0.11757739633321762,7,100
788,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,0,38
789,98,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,1,38
790,102,4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0867231488227844,0.0496933571994305,2,38
791,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04,3,38
792,124,4.461,0.921,1.0,0.815,0.167,0.055,0.059,4,38
793,128,4.392199993133545,0.8747426867485046,0.872167706489563,0.7811567187309265,0.23586055636405945,0.043899573385715485,0.05588114261627197,5,38
794,122,4.596499919891357,0.9190146923065186,0.5145300030708313,0.5896722674369812,0.3335992395877838,0.04424624145030975,0.05713280290365219,6,38
795,120,4.515999794006348,1.349854588508606,0.5963210463523865,0.6562386155128479,0.3158966600894928,0.029135800898075104,0.0288959052413702,7,38
796,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,0,39
797,108,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,1,39
798,103,4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.0892826020717621,0.114173173904419,2,39
799,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,3,39
800,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,4,39
801,125,4.552800178527832,0.5878192186355591,1.1947555541992188,0.61382657289505,0.298700749874115,0.07191365212202072,0.0918162614107132,5,39
802,125,4.51669979095459,0.6460618376731873,0.8185746669769287,0.43374818563461304,0.3300917148590088,0.07526784390211105,0.0819539800286293,6,39
803,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,0,153
804,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,1,153
805,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,2,153
806,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,3,153
807,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,4,153
808,107,4.832799911499023,0.5561562776565552,0.8688005805015564,0.6949405074119568,0.6041305661201477,0.17673590779304504,0.17674511671066284,5,153
809,101,5.024600028991699,0.6354741454124451,0.5199570655822754,0.5140591859817505,0.6026487946510315,0.16431772708892822,0.16100110113620758,6,153
810,94,5.1554999351501465,1.0602563619613647,0.6137131452560425,0.5806912779808044,0.6222731471061707,0.1867043673992157,0.12493634223937988,7,153
811,110,4.686,1.1988,0.54447,0.69805,0.30033,0.05863,0.38086,0,40
812,105,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1,40
813,108,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155,2,40
814,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,3,40
815,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,4,40
816,118,4.672399997711182,1.0293225049972534,0.8862711787223816,0.7490538358688354,0.3011954724788666,0.1426515132188797,0.2769789397716522,5,40
817,118,4.721199989318848,1.0303150415420532,0.5574936866760254,0.561313807964325,0.2747035622596741,0.14358165860176086,0.33049440383911133,6,40
818,110,4.887899875640869,1.4097338914871216,0.7406527400016785,0.6417500972747803,0.28134480118751526,0.14641529321670532,0.24098455905914307,7,40
819,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,0,101
820,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1,101
821,132,4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.0230294708162546,0.270061463117599,2,101
822,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187,3,101
823,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,4,101
824,123,4.560699939727783,0.7804346084594727,1.3213164806365967,0.6986743807792664,0.31942370533943176,0.00965115986764431,0.1785513162612915,5,101
825,110,4.874800205230713,0.9785028696060181,0.958214282989502,0.5172648429870605,0.4170069396495819,0.009901577606797218,0.1807764172554016,6,101
826,98,5.084099769592285,1.4112961292266846,1.0805567502975464,0.5832998156547546,0.47300830483436584,0.016815461218357086,0.18835440278053284,7,101
827,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,0,41
828,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1,41
829,117,4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.107215754687786,0.19963726401329,2,41
830,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,3,41
831,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,4,41
832,110,4.784800052642822,0.9820187091827393,1.0114666223526,0.5293506979942322,0.2835880517959595,0.07316499203443527,0.153002068400383,5,41
833,111,4.854100227355957,0.9100210070610046,0.6378000974655151,0.3812561333179474,0.3017941117286682,0.04089774563908577,0.15334570407867432,6,41
834,107,4.940899848937988,1.2887792587280273,0.6823609471321106,0.5542571544647217,0.3284466564655304,0.045941274613142014,0.14672881364822388,7,41
835,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,0,118
836,116,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1,118
837,101,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.0725094974040985,0.139362379908562,2,118
838,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,3,118
839,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,4,118
840,109,4.8140997886657715,0.9021404385566711,1.25908625125885,0.4070340692996979,0.4347818195819855,0.05950213968753815,0.12640684843063354,5,118
841,103,4.956399917602539,0.9667996764183044,0.8945959210395813,0.2653753161430359,0.4473489820957184,0.05086477845907211,0.1442687213420868,6,118
842,91,5.193900108337402,1.424950122833252,1.0882340669631958,0.36124831438064575,0.4421205520629883,0.04603973403573036,0.08886580914258957,7,118
843,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,0,119
844,124,4.276,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,1,119
845,131,4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,2,119
846,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,3,119
847,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,4,119
848,91,5.1479997634887695,0.575862467288971,0.9663679599761963,0.43216225504875183,0.4772900640964508,0.0565703809261322,0.2612912058830261,5,119
